record_id,dataset_role,property_symbol,property_name,component,value,unit,temperature_C,temperature_context,source_key,doi_or_reference,PLA_formulation,print_condition,confidence_relevance,compatibility_status,how_used_in_ANSYS,source_locator,notes
PLA-065,candidate,ε₁₁^AM,programmed AM pre-strain,Timoshenko-bilayer identification,0.07926,1,90,activation temperature,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,"25 mm × 5 mm, 0.1 mm layers; nozzle 215 °C; activation 90 °C; bilayer calibration","moderate; analytical identification, no dispersion reported",not_bulk_annealing_input,Method bracket only; not an uncertainty distribution,Main-text Table 5,
PLA-066,comparator,ρ,mass density,isotropic,1240,kg m⁻³,20,used constant up to 140 °C by source,Luberto2024,10.1089/3dp.2022.0282,Unidentified PLA filament,Prusa i3 MKS3 FFF cuboid,low transfer relevance; exact source grade absent,incompatible_comparator,Do not use for Prusament PLA; retain for screening only,Table 1,
PLA-067,comparator,c_p,specific heat capacity,isotropic,1800,J kg⁻¹ K⁻¹,20,used constant up to 140 °C by source,Luberto2024,10.1089/3dp.2022.0282,Unidentified PLA filament,Prusa i3 MKS3 FFF cuboid,low transfer relevance; exact source grade absent,incompatible_comparator,Do not use for Prusament PLA; retain for screening only,Table 1,
PLA-068,comparator,k,thermal conductivity,isotropic,0.13,W m⁻¹ K⁻¹,20,used constant up to 140 °C by source,Luberto2024,10.1089/3dp.2022.0282,Unidentified PLA filament,Prusa i3 MKS3 FFF cuboid,low transfer relevance; exact source grade absent,incompatible_comparator,Do not use for Prusament PLA; retain for screening only,Table 1,
PLA-069,comparator,E,Young modulus,isotropic model table,1860,MPa,25,model input; room value measured then reduced using another source,Trofimov2022,10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred functions,Raise3D Premium PLA; Raise3D Pro2; 100% infill; 0.2 mm layers; 0.4 mm nozzle; 210 °C nozzle; 60 °C bed,moderate as reproduced model input; low grade purity,incompatible_source_mixture,Do not merge with Prusament properties,Table 1 and §3.2,
PLA-070,comparator,E,Young modulus,isotropic model table,1727,MPa,40,model input; room value measured then reduced using another source,Trofimov2022,10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred functions,Raise3D Premium PLA; Raise3D Pro2; 100% infill; 0.2 mm layers; 0.4 mm nozzle; 210 °C nozzle; 60 °C bed,moderate as reproduced model input; low grade purity,incompatible_source_mixture,Do not merge with Prusament properties,Table 1 and §3.2,
PLA-071,comparator,E,Young modulus,isotropic model table,1603,MPa,50,model input; room value measured then reduced using another source,Trofimov2022,10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred functions,Raise3D Premium PLA; Raise3D Pro2; 100% infill; 0.2 mm layers; 0.4 mm nozzle; 210 °C nozzle; 60 °C bed,moderate as reproduced model input; low grade purity,incompatible_source_mixture,Do not merge with Prusament properties,Table 1 and §3.2,
PLA-072,comparator,E,Young modulus,isotropic model table,1000,MPa,60,model input; room value measured then reduced using another source,Trofimov2022,10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred functions,Raise3D Premium PLA; Raise3D Pro2; 100% infill; 0.2 mm layers; 0.4 mm nozzle; 210 °C nozzle; 60 °C bed,moderate as reproduced model input; low grade purity,incompatible_source_mixture,Do not merge with Prusament properties,Table 1 and §3.2,
PLA-073,comparator,E,Young modulus,isotropic model table,300,MPa,70,model input; room value measured then reduced using another source,Trofimov2022,10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred functions,Raise3D Premium PLA; Raise3D Pro2; 100% infill; 0.2 mm layers; 0.4 mm nozzle; 210 °C nozzle; 60 °C bed,moderate as reproduced model input; low grade purity,incompatible_source_mixture,Do not merge with Prusament properties,Table 1 and §3.2,
PLA-074,comparator,E,Young modulus,isotropic model table,50,MPa,80,model input; room value measured then reduced using another source,Trofimov2022,10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred functions,Raise3D Premium PLA; Raise3D Pro2; 100% infill; 0.2 mm layers; 0.4 mm nozzle; 210 °C nozzle; 60 °C bed,moderate as reproduced model input; low grade purity,incompatible_source_mixture,Do not merge with Prusament properties,Table 1 and §3.2,
PLA-075,comparator,E,Young modulus,isotropic model table,10,MPa,90,model input; room value measured then reduced using another source,Trofimov2022,10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred functions,Raise3D Premium PLA; Raise3D Pro2; 100% infill; 0.2 mm layers; 0.4 mm nozzle; 210 °C nozzle; 60 °C bed,moderate as reproduced model input; low grade purity,incompatible_source_mixture,Do not merge with Prusament properties,Table 1 and §3.2,
PLA-076,comparator,E,Young modulus,isotropic model table,1,MPa,100,model input; room value measured then reduced using another source,Trofimov2022,10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred functions,Raise3D Premium PLA; Raise3D Pro2; 100% infill; 0.2 mm layers; 0.4 mm nozzle; 210 °C nozzle; 60 °C bed,moderate as reproduced model input; low grade purity,incompatible_source_mixture,Do not merge with Prusament properties,Table 1 and §3.2,
PLA-077,comparator,E,Young modulus,isotropic model table,1,MPa,150,model input; room value measured then reduced using another source,Trofimov2022,10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred functions,Raise3D Premium PLA; Raise3D Pro2; 100% infill; 0.2 mm layers; 0.4 mm nozzle; 210 °C nozzle; 60 °C bed,moderate as reproduced model input; low grade purity,incompatible_source_mixture,Do not merge with Prusament properties,Table 1 and §3.2,
PLA-078,comparator,α,coefficient of linear thermal expansion,isotropic low-temperature table value,79,µm m⁻¹ K⁻¹,25–90,piecewise source table,Trofimov2022,10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred functions,Raise3D Premium PLA; Raise3D Pro2; 100% infill; 0.2 mm layers; 0.4 mm nozzle; 210 °C nozzle; 60 °C bed,low transfer relevance,incompatible_source_mixture,Do not merge with Prusament properties,Table 1 and §3.2,
PLA-079,comparator,α,coefficient of linear thermal expansion,isotropic high-temperature table value,147,µm m⁻¹ K⁻¹,100–150,piecewise source table,Trofimov2022,10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred functions,Raise3D Premium PLA; Raise3D Pro2; 100% infill; 0.2 mm layers; 0.4 mm nozzle; 210 °C nozzle; 60 °C bed,low transfer relevance,incompatible_source_mixture,Do not merge with Prusament properties,Table 1 and §3.2,
PLA-080,comparator,k,thermal conductivity,isotropic low-temperature table value,0.11,W m⁻¹ K⁻¹,25–90,piecewise source table,Trofimov2022,10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred functions,Raise3D Premium PLA; Raise3D Pro2; 100% infill; 0.2 mm layers; 0.4 mm nozzle; 210 °C nozzle; 60 °C bed,low transfer relevance,incompatible_source_mixture,Do not merge with Prusament properties,Table 1 and §3.2,
PLA-081,comparator,k,thermal conductivity,isotropic high-temperature table value,0.19,W m⁻¹ K⁻¹,100–150,piecewise source table,Trofimov2022,10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred functions,Raise3D Premium PLA; Raise3D Pro2; 100% infill; 0.2 mm layers; 0.4 mm nozzle; 210 °C nozzle; 60 °C bed,low transfer relevance,incompatible_source_mixture,Do not merge with Prusament properties,Table 1 and §3.2,
PLA-082,comparator,c_p,specific heat capacity,isotropic low-temperature table value,1590,J kg⁻¹ K⁻¹,25–90,piecewise source table,Trofimov2022,10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred functions,Raise3D Premium PLA; Raise3D Pro2; 100% infill; 0.2 mm layers; 0.4 mm nozzle; 210 °C nozzle; 60 °C bed,low transfer relevance,incompatible_source_mixture,Do not merge with Prusament properties,Table 1 and §3.2,
PLA-083,comparator,c_p,specific heat capacity,isotropic high-temperature table value,1950,J kg⁻¹ K⁻¹,100–150,piecewise source table,Trofimov2022,10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred functions,Raise3D Premium PLA; Raise3D Pro2; 100% infill; 0.2 mm layers; 0.4 mm nozzle; 210 °C nozzle; 60 °C bed,low transfer relevance,incompatible_source_mixture,Do not merge with Prusament properties,Table 1 and §3.2,
PLA-084,comparator,ν,Poisson ratio,isotropic,0.36,1,25–150,constant in source model,Trofimov2022,10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred functions,Raise3D Premium PLA; Raise3D Pro2; 100% infill; 0.2 mm layers; 0.4 mm nozzle; 210 °C nozzle; 60 °C bed,low transfer relevance,incompatible_source_mixture,Do not merge with Prusament properties,Table 1 and §3.2,
PLA-085,comparator,ρ,mass density,isotropic,1250,kg m⁻³,25–150,constant in source model,Trofimov2022,10.1016/j.addma.2022.102693,Raise3D Premium PLA with transferred functions,Raise3D Premium PLA; Raise3D Pro2; 100% infill; 0.2 mm layers; 0.4 mm nozzle; 210 °C nozzle; 60 °C bed,low transfer relevance,incompatible_source_mixture,Do not merge with Prusament properties,Table 1 and §3.2,
PLA-086,comparator,E₁,Young modulus,road direction 1,2669,MPa,not reported,laboratory tensile characterization,Li2024,10.1016/j.tws.2024.111800,FormFutura Premium PLA,FormFutura Premium PLA; Ultimaker S5; line infill; 0 mm road air gap; 0.2 mm layers; 0.8 mm line width; 210 °C; 45 mm s⁻¹; 60 °C bed,high for reported architecture; low transfer relevance,incomplete_incompatible_orthotropic_set,Do not enter as Prusament orthotropy; G₂₃ and ν₂₃ are missing,Table 4,
PLA-087,comparator,E₂,Young modulus,transverse in-plane 2,2583,MPa,not reported,laboratory tensile characterization,Li2024,10.1016/j.tws.2024.111800,FormFutura Premium PLA,FormFutura Premium PLA; Ultimaker S5; line infill; 0 mm road air gap; 0.2 mm layers; 0.8 mm line width; 210 °C; 45 mm s⁻¹; 60 °C bed,high for reported architecture; low transfer relevance,incomplete_incompatible_orthotropic_set,Do not enter as Prusament orthotropy; G₂₃ and ν₂₃ are missing,Table 4,
PLA-088,comparator,E₃,Young modulus,build direction 3,2208,MPa,not reported,laboratory tensile characterization,Li2024,10.1016/j.tws.2024.111800,FormFutura Premium PLA,FormFutura Premium PLA; Ultimaker S5; line infill; 0 mm road air gap; 0.2 mm layers; 0.8 mm line width; 210 °C; 45 mm s⁻¹; 60 °C bed,high for reported architecture; low transfer relevance,incomplete_incompatible_orthotropic_set,Do not enter as Prusament orthotropy; G₂₃ and ν₂₃ are missing,Table 4,
PLA-089,comparator,ν₁₂,Poisson ratio,12,0.43,1,not reported,laboratory tensile characterization,Li2024,10.1016/j.tws.2024.111800,FormFutura Premium PLA,FormFutura Premium PLA; Ultimaker S5; line infill; 0 mm road air gap; 0.2 mm layers; 0.8 mm line width; 210 °C; 45 mm s⁻¹; 60 °C bed,high for reported architecture; low transfer relevance,incomplete_incompatible_orthotropic_set,Do not enter as Prusament orthotropy; G₂₃ and ν₂₃ are missing,Table 4,
PLA-090,comparator,ν₁₃,Poisson ratio,13,0.37,1,not reported,laboratory tensile characterization,Li2024,10.1016/j.tws.2024.111800,FormFutura Premium PLA,FormFutura Premium PLA; Ultimaker S5; line infill; 0 mm road air gap; 0.2 mm layers; 0.8 mm line width; 210 °C; 45 mm s⁻¹; 60 °C bed,high for reported architecture; low transfer relevance,incomplete_incompatible_orthotropic_set,Do not enter as Prusament orthotropy; G₂₃ and ν₂₃ are missing,Table 4,
PLA-091,comparator,G₁₂,shear modulus,12,919,MPa,not reported,laboratory tensile characterization,Li2024,10.1016/j.tws.2024.111800,FormFutura Premium PLA,FormFutura Premium PLA; Ultimaker S5; line infill; 0 mm road air gap; 0.2 mm layers; 0.8 mm line width; 210 °C; 45 mm s⁻¹; 60 °C bed,high for reported architecture; low transfer relevance,incomplete_incompatible_orthotropic_set,Do not enter as Prusament orthotropy; G₂₃ and ν₂₃ are missing,Table 4,
PLA-092,comparator,G₃₁,shear modulus,31,844,MPa,not reported,laboratory tensile characterization,Li2024,10.1016/j.tws.2024.111800,FormFutura Premium PLA,FormFutura Premium PLA; Ultimaker S5; line infill; 0 mm road air gap; 0.2 mm layers; 0.8 mm line width; 210 °C; 45 mm s⁻¹; 60 °C bed,high for reported architecture; low transfer relevance,incomplete_incompatible_orthotropic_set,Do not enter as Prusament orthotropy; G₂₃ and ν₂₃ are missing,Table 4,
PLA-093,comparator,E,tensile modulus,0°,3045,MPa,not reported,controlled laboratory environment,Relaxation2022,10.3390/ma15103509,SUNLU PLA Plus,SUNLU PLA Plus; 0.4 mm nozzle; 210 °C; 60 mm s⁻¹; 50 °C bed; 0.1 mm layers; 100% single-direction infill; one contour,high for reported specimens; low transfer relevance,incompatible_comparator,Do not use for Prusament; relaxation evidence is qualitative for model selection,Table 4,Published uncertainty ±3 MPa
PLA-094,comparator,E,tensile modulus,45°,2914,MPa,not reported,controlled laboratory environment,Relaxation2022,10.3390/ma15103509,SUNLU PLA Plus,SUNLU PLA Plus; 0.4 mm nozzle; 210 °C; 60 mm s⁻¹; 50 °C bed; 0.1 mm layers; 100% single-direction infill; one contour,high for reported specimens; low transfer relevance,incompatible_comparator,Do not use for Prusament; relaxation evidence is qualitative for model selection,Table 4,Published uncertainty ±3 MPa
PLA-095,comparator,E,tensile modulus,90°,2932,MPa,not reported,controlled laboratory environment,Relaxation2022,10.3390/ma15103509,SUNLU PLA Plus,SUNLU PLA Plus; 0.4 mm nozzle; 210 °C; 60 mm s⁻¹; 50 °C bed; 0.1 mm layers; 100% single-direction infill; one contour,high for reported specimens; low transfer relevance,incompatible_comparator,Do not use for Prusament; relaxation evidence is qualitative for model selection,Table 4,Published uncertainty ±3 MPa
PLA-096,comparator,ΔE/E₀,normalized relaxation over 500 s,0°/45°/90° summary,≈11–13,%,not reported,500 s constant-strain room-condition tests,Relaxation2022,10.3390/ma15103509,SUNLU PLA Plus,SUNLU PLA Plus; 0.4 mm nozzle; 210 °C; 60 mm s⁻¹; 50 °C bed; 0.1 mm layers; 100% single-direction infill; one contour,moderate; rounded textual summary,incompatible_comparator,Do not convert to a Prony series for annealing,§3.2,
